id,group_id,interpreted_age_id
533,6,250
534,6,253
535,6,257
536,6,256
537,6,304
538,6,259
539,6,298
540,6,261
541,6,244
542,6,321
543,6,247
544,6,246
545,6,230
546,6,145
547,6,242
548,6,269
549,6,281
550,6,283
551,6,301
552,6,232
553,6,322
554,6,147
555,6,287
556,6,273
557,6,239
558,6,234
559,6,219
560,6,252
561,6,306
562,6,267
563,6,229
564,6,263
565,6,224
566,6,264
567,6,225
568,6,238
569,6,268
570,6,218
571,6,220
572,6,272
573,6,222
574,6,226
575,6,280
576,6,279
577,6,282
578,6,276
579,6,235
580,6,241
581,6,248
582,6,51
583,6,77
584,6,48
585,6,265
586,7,402
587,7,405
588,7,409
589,7,408
590,7,456
591,7,411
592,7,450
593,7,413
594,7,396
595,7,473
596,7,399
597,7,398
598,7,378
599,7,145
600,7,394
601,7,421
602,7,433
603,7,435
604,7,453
605,7,382
606,7,474
607,7,147
608,7,439
609,7,425
610,7,391
611,7,391
612,7,384
613,7,367
614,7,404
615,7,458
616,7,419
617,7,377
618,7,415
619,7,372
620,7,416
621,7,373
622,7,389
623,7,389
624,7,420
625,7,366
626,7,368
627,7,424
628,7,370
629,7,374
630,7,432
631,7,431
632,7,434
633,7,428
634,7,385
635,7,393
636,7,400
637,7,51
638,7,77
639,7,48
640,7,417
641,8,513
642,8,516
643,8,520
644,8,519
645,8,567
646,8,522
647,8,561
648,8,524
649,8,507
650,8,584
651,8,510
652,8,509
653,8,489
654,8,145
655,8,505
656,8,501
657,8,532
658,8,544
659,8,546
660,8,564
661,8,493
662,8,585
663,8,147
664,8,550
665,8,536
666,8,502
667,8,495
668,8,478
669,8,515
670,8,569
671,8,530
672,8,488
673,8,526
674,8,483
675,8,527
676,8,500
677,8,484
678,8,491
679,8,499
680,8,531
681,8,477
682,8,479
683,8,535
684,8,481
685,8,485
686,8,543
687,8,542
688,8,545
689,8,539
690,8,490
691,8,496
692,8,504
693,8,492
694,8,511
695,8,51
696,8,77
697,8,48
698,8,528
699,9,497
700,9,525
701,9,494
702,9,551
703,9,547
704,9,554
705,9,573
706,9,558
707,9,146
708,9,571
709,9,570
710,9,580
711,9,559
712,9,557
713,9,529
714,9,575
715,9,581
716,9,582
717,9,583
718,9,538
719,9,553
720,9,574
721,9,548
722,9,579
723,9,578
724,9,562
725,9,560
726,10,151
727,10,150
728,10,149
729,10,148
730,10,513
731,10,517
732,10,592
733,10,516
734,10,512
735,10,514
736,10,518
737,10,520
738,10,519
739,10,487
740,10,568
741,10,567
742,10,521
743,10,522
744,10,523
745,10,561
746,10,524
747,10,507
748,10,584
749,10,510
750,10,509
751,10,489
752,10,533
753,10,506
754,10,508
755,10,505
756,10,593
757,10,501
758,10,532
759,10,544
760,10,546
761,10,564
762,10,549
763,10,493
764,10,585
765,10,550
766,10,536
767,10,503
768,10,595
769,10,588
770,10,498
771,10,502
772,10,495
773,10,478
774,10,515
775,10,569
776,10,530
777,10,488
778,10,526
779,10,483
780,10,527
781,10,500
782,10,537
783,10,484
784,10,491
785,10,499
786,10,531
787,10,477
788,10,479
789,10,565
790,10,535
791,10,481
792,10,485
793,10,543
794,10,542
795,10,545
796,10,539
797,10,490
798,10,496
799,10,504
800,10,492
801,10,143
802,10,511
803,10,480
804,10,51
805,10,77
806,10,482
807,10,566
808,10,48
809,10,528
810,10,486
811,11,513
812,11,517
813,11,592
814,11,516
815,11,512
816,11,514
817,11,518
818,11,520
819,11,519
820,11,487
821,11,568
822,11,567
823,11,521
824,11,522
825,11,523
826,11,561
827,11,524
828,11,507
829,11,584
830,11,510
831,11,509
832,11,489
833,11,533
834,11,506
835,11,508
836,11,505
837,11,593
838,11,501
839,11,532
840,11,544
841,11,546
842,11,564
843,11,549
844,11,493
845,11,585
846,11,550
847,11,536
848,11,503
849,11,595
850,11,588
851,11,498
852,11,502
853,11,495
854,11,478
855,11,515
856,11,569
857,11,530
858,11,488
859,11,526
860,11,483
861,11,527
862,11,500
863,11,537
864,11,484
865,11,491
866,11,499
867,11,531
868,11,477
869,11,479
870,11,565
871,11,535
872,11,481
873,11,485
874,11,543
875,11,542
876,11,545
877,11,539
878,11,490
879,11,496
880,11,504
881,11,492
882,11,143
883,11,511
884,11,480
885,11,51
886,11,77
887,11,482
888,11,566
889,11,48
890,11,528
891,11,486
892,12,601
893,12,513
894,12,517
895,12,592
896,12,516
897,12,612
898,12,512
899,12,514
900,12,600
901,12,518
902,12,613
903,12,611
904,12,520
905,12,519
906,12,487
907,12,568
908,12,567
909,12,521
910,12,522
911,12,523
912,12,561
913,12,524
914,12,507
915,12,584
916,12,510
917,12,509
918,12,603
919,12,489
920,12,533
921,12,506
922,12,609
923,12,508
924,12,505
925,12,593
926,12,501
927,12,532
928,12,544
929,12,608
930,12,546
931,12,564
932,12,549
933,12,493
934,12,614
935,12,585
936,12,550
937,12,536
938,12,503
939,12,595
940,12,588
941,12,498
942,12,610
943,12,502
944,12,495
945,12,478
946,12,515
947,12,602
948,12,607
949,12,569
950,12,530
951,12,488
952,12,526
953,12,483
954,12,527
955,12,500
956,12,537
957,12,484
958,12,605
959,12,491
960,12,499
961,12,531
962,12,477
963,12,606
964,12,479
965,12,565
966,12,597
967,12,535
968,12,596
969,12,481
970,12,485
971,12,543
972,12,542
973,12,545
974,12,539
975,12,490
976,12,496
977,12,504
978,12,599
979,12,492
980,12,143
981,12,511
982,12,480
983,12,598
984,12,51
985,12,77
986,12,482
987,12,566
988,12,48
989,12,528
990,12,486
